title,source,place,published_date,commencement_date,url
"Admiralty Jurisdiction (India) Act, 1860",Union of India - Act,"UNION OF INDIA,India",13 August 1860,13 August 1860,https://indiankanoon.org/doc/58833999/
"Admiralty Jurisdiction (India) Act, 1860",Union of India - Act,"UNION OF INDIA,India",13 August 1860,13 August 1860,https://indiankanoon.org/doc/58833999/
"The Indian Penal Code, 1860",Union of India - Act,"UNION OF INDIA,India",Published in Gazette 45 on 6 October 1860,6 October 1860,https://indiankanoon.org/doc/1569253/
"The Police Act, 1861",Union of India - Act,"UNION OF INDIA,India",Published in Gazette 5 on 22 March 1861,22 March 1861,https://indiankanoon.org/doc/1612841/
"Admiralty Court Act, 1861",Union of India - Act,"UNION OF INDIA,India",17 May 1861,17 May 1861,https://indiankanoon.org/doc/27284615/
"The Stage Carriages Act, 1861",Union of India - Act,"UNION OF INDIA,India",Published in Gazette of India on 7 July 1861,Not commenced,https://indiankanoon.org/doc/26828/
"The Police Act, 1861",Union of India - Act,"UNION OF INDIA,India",Published in Gazette 5 on 22 March 1861,22 March 1861,https://indiankanoon.org/doc/1612841/
"Admiralty Court Act, 1861",Union of India - Act,"UNION OF INDIA,India",17 May 1861,17 May 1861,https://indiankanoon.org/doc/27284615/
"The Stage Carriages Act, 1861",Union of India - Act,"UNION OF INDIA,India",Published in Gazette of India on 7 July 1861,Not commenced,https://indiankanoon.org/doc/26828/
"The Government Seal Act, 1862",Union of India - Act,"UNION OF INDIA,India",28 February 1862,28 February 1862,https://indiankanoon.org/doc/449758/
"The Government Seal Act, 1862",Union of India - Act,"UNION OF INDIA,India",28 February 1862,28 February 1862,https://indiankanoon.org/doc/449758/
"The Religious Endowments Act, 1863",Union of India - Act,"UNION OF INDIA,India",1 January 1863,1 January 1863,https://indiankanoon.org/doc/377820/
"The Excise (Spirits) Act, 1863",Union of India - Act,"UNION OF INDIA,India",10 March 1863,10 March 1863,https://indiankanoon.org/doc/173593657/
"The Religious Endowments Act, 1863",Union of India - Act,"UNION OF INDIA,India",1 January 1863,1 January 1863,https://indiankanoon.org/doc/377820/
"The Excise (Spirits) Act, 1863",Union of India - Act,"UNION OF INDIA,India",10 March 1863,10 March 1863,https://indiankanoon.org/doc/173593657/
"Indian Tolls Act, 1864",Union of India - Act,"UNION OF INDIA,India",24 March 1864,24 March 1864,https://indiankanoon.org/doc/29726905/
"Indian Tolls Act, 1864",Union of India - Act,"UNION OF INDIA,India",24 March 1864,24 March 1864,https://indiankanoon.org/doc/29726905/
"The Carriers Act, 1865",Union of India - Act,"UNION OF INDIA,India",14 February 1865,14 February 1865,https://indiankanoon.org/doc/23011747/
"The Carriers Act, 1865",Union of India - Act,"UNION OF INDIA,India",14 February 1865,14 February 1865,https://indiankanoon.org/doc/23011747/
"The Converts' Marriage Dissolution Act, 1866",Union of India - Act,"UNION OF INDIA,India",2 April 1866,2 April 1866,https://indiankanoon.org/doc/266867/
"The Converts' Marriage Dissolution Act, 1866",Union of India - Act,"UNION OF INDIA,India",2 April 1866,2 April 1866,https://indiankanoon.org/doc/266867/
"Public Gambling Act,1867",Union of India - Act,"UNION OF INDIA,India",Published in Gazette 03 on 25 January 1867,25 January 1867,https://indiankanoon.org/doc/78032902/
"The Press And Registration Of Books Act, 1867",Union of India - Act,"UNION OF INDIA,India",1 January 1867,1 January 1867,https://indiankanoon.org/doc/172767490/
"The Sarais Act, 1867",Union of India - Act,"UNION OF INDIA,India",15 March 1867,15 March 1867,https://indiankanoon.org/doc/73871485/
"The Acting Judges Act,   1867",Union of India - Act,"UNION OF INDIA,India",1 January 1867,1 January 1867,https://indiankanoon.org/doc/188168/
"The Oriental Gas Company Act, 1867",Union of India - Act,"UNION OF INDIA,India",Published in Gazette of India on 1 March 1867,Not commenced,https://indiankanoon.org/doc/176621882/
"Public Gambling Act,1867",Union of India - Act,"UNION OF INDIA,India",Published in Gazette 03 on 25 January 1867,25 January 1867,https://indiankanoon.org/doc/78032902/
"The Press And Registration Of Books Act, 1867",Union of India - Act,"UNION OF INDIA,India",1 January 1867,1 January 1867,https://indiankanoon.org/doc/172767490/
"The Acting Judges Act,   1867",Union of India - Act,"UNION OF INDIA,India",1 January 1867,1 January 1867,https://indiankanoon.org/doc/188168/
"The Sarais Act, 1867",Union of India - Act,"UNION OF INDIA,India",15 March 1867,15 March 1867,https://indiankanoon.org/doc/73871485/
"The Oriental Gas Company Act, 1867",Union of India - Act,"UNION OF INDIA,India",Published in Gazette of India on 1 March 1867,Not commenced,https://indiankanoon.org/doc/176621882/
"Indian Divorce Act, 1869",Union of India - Act,"UNION OF INDIA,India",Published in Gazette 4 on 26 February 1869,26 February 1869,https://indiankanoon.org/doc/806295/
"Indian Divorce Act, 1869",Union of India - Act,"UNION OF INDIA,India",Published in Gazette 4 on 26 February 1869,26 February 1869,https://indiankanoon.org/doc/806295/
"The Court-fees Act, 1870",Union of India - Act,"UNION OF INDIA,India",11 March 1870,11 March 1870,https://indiankanoon.org/doc/138097064/
"The Court-fees Act, 1870",Union of India - Act,"UNION OF INDIA,India",11 March 1870,11 March 1870,https://indiankanoon.org/doc/138097064/
"The Cattle-Trespass Act, 1871",Union of India - Act,"UNION OF INDIA,India",Published in Gazette 1 on 13 January 1871,13 January 1871,https://indiankanoon.org/doc/71679/
"The Pensions Act, 1871",Union of India - Act,"UNION OF INDIA,India",8 August 1871,8 August 1871,https://indiankanoon.org/doc/722532/
"Criminal Tribes Act, 1871",Union of India - Act,"UNION OF INDIA,India",12 October 1871,12 October 1871,https://indiankanoon.org/doc/17412906/
"The Coroners Act, 1871",Union of India - Act,"UNION OF INDIA,India",Published in Gazette 04 on 27 January 1871,27 January 1871,https://indiankanoon.org/doc/792853/
Dehra Dun 1871,Union of India - Act,"UNION OF INDIA,India",11 July 1871,11 July 1871,https://indiankanoon.org/doc/1737355/
"The Cattle-Trespass Act, 1871",Union of India - Act,"UNION OF INDIA,India",Published in Gazette 1 on 13 January 1871,13 January 1871,https://indiankanoon.org/doc/71679/
"The Coroners Act, 1871",Union of India - Act,"UNION OF INDIA,India",Published in Gazette 04 on 27 January 1871,27 January 1871,https://indiankanoon.org/doc/792853/
Dehra Dun 1871,Union of India - Act,"UNION OF INDIA,India",11 July 1871,11 July 1871,https://indiankanoon.org/doc/1737355/
"The Pensions Act, 1871",Union of India - Act,"UNION OF INDIA,India",8 August 1871,8 August 1871,https://indiankanoon.org/doc/722532/
"Criminal Tribes Act, 1871",Union of India - Act,"UNION OF INDIA,India",12 October 1871,12 October 1871,https://indiankanoon.org/doc/17412906/
"The Indian Evidence Act, 1872",Union of India - Act,"UNION OF INDIA,India",Published in Gazette 1 on 15 March 1872,15 March 1872,https://indiankanoon.org/doc/1953529/
"The Indian Contract Act, 1872",Union of India - Act,"UNION OF INDIA,India",Published in Gazette 9 on 25 April 1872,25 April 1872,https://indiankanoon.org/doc/171398/
"The Indian Christian Marriage Act, 1872",Union of India - Act,"UNION OF INDIA,India",Published in Gazette 15 on 18 July 1872,18 July 1872,https://indiankanoon.org/doc/1166543/
"The Indian Evidence Act, 1872",Union of India - Act,"UNION OF INDIA,India",Published in Gazette 1 on 15 March 1872,15 March 1872,https://indiankanoon.org/doc/1953529/
"The Indian Contract Act, 1872",Union of India - Act,"UNION OF INDIA,India",Published in Gazette 9 on 25 April 1872,25 April 1872,https://indiankanoon.org/doc/171398/
"The Indian Christian Marriage Act, 1872",Union of India - Act,"UNION OF INDIA,India",Published in Gazette 15 on 18 July 1872,18 July 1872,https://indiankanoon.org/doc/1166543/
"The Government Savings Promotion Act, 1873",Union of India - Act,"UNION OF INDIA,India",28 January 1873,28 January 1873,https://indiankanoon.org/doc/153970090/
"The Northern India Canal and Drainageact, 1873",Union of India - Act,"UNION OF INDIA,India",Published in Gazette of India 08 on 11 February 1873,Not commenced,https://indiankanoon.org/doc/108967772/
"The Government Savings Promotion Act, 1873",Union of India - Act,"UNION OF INDIA,India",28 January 1873,28 January 1873,https://indiankanoon.org/doc/153970090/
"The Northern India Canal and Drainageact, 1873",Union of India - Act,"UNION OF INDIA,India",Published in Gazette of India 08 on 11 February 1873,Not commenced,https://indiankanoon.org/doc/108967772/
"The Married Women's Property Act, 1874",Union of India - Act,"UNION OF INDIA,India",24 February 1874,24 February 1874,https://indiankanoon.org/doc/51897370/
"Married Womens Property Act, 1874",Union of India - Act,"UNION OF INDIA,India",Published in Gazette of India 3 on 24 February 1874,Not commenced,https://indiankanoon.org/doc/62223786/
"The Foreign Recruiting Act, 1874",Union of India - Act,"UNION OF INDIA,India",24 February 1874,24 February 1874,https://indiankanoon.org/doc/1759110/
"The Married Women's Property Act, 1874",Union of India - Act,"UNION OF INDIA,India",24 February 1874,24 February 1874,https://indiankanoon.org/doc/51897370/
"Married Womens Property Act, 1874",Union of India - Act,"UNION OF INDIA,India",Published in Gazette of India 3 on 24 February 1874,Not commenced,https://indiankanoon.org/doc/62223786/
"The Foreign Recruiting Act, 1874",Union of India - Act,"UNION OF INDIA,India",24 February 1874,24 February 1874,https://indiankanoon.org/doc/1759110/
"The Indian Majority Act, 1875",Union of India - Act,"UNION OF INDIA,India",2 March 1875,2 March 1875,https://indiankanoon.org/doc/80664820/
"The Majority Act, 1875",Union of India - Act,"UNION OF INDIA,India",1 January 1875,1 January 1875,https://indiankanoon.org/doc/588889/
"The Indian Law Reports Act, 1875",Union of India - Act,"UNION OF INDIA,India",13 October 1875,13 October 1875,https://indiankanoon.org/doc/193528536/
"Central Provinces Laws Act, 1875",Union of India - Act,"UNION OF INDIA,India",9 December 1875,9 December 1875,https://indiankanoon.org/doc/187794314/
"The Majority Act, 1875",Union of India - Act,"UNION OF INDIA,India",1 January 1875,1 January 1875,https://indiankanoon.org/doc/588889/
"The Indian Majority Act, 1875",Union of India - Act,"UNION OF INDIA,India",2 March 1875,2 March 1875,https://indiankanoon.org/doc/80664820/
"The Indian Law Reports Act, 1875",Union of India - Act,"UNION OF INDIA,India",13 October 1875,13 October 1875,https://indiankanoon.org/doc/193528536/
"Central Provinces Laws Act, 1875",Union of India - Act,"UNION OF INDIA,India",9 December 1875,9 December 1875,https://indiankanoon.org/doc/187794314/
"The Oudh Laws Act,   1876",Union of India - Act,"UNION OF INDIA,India",1 January 1876,1 January 1876,https://indiankanoon.org/doc/1354504/
"The Bombay Revenue Jurisdiction Act, 1876",Union of India - Act,"UNION OF INDIA,India",Published in Gazette of India on 28 March 1876,Not commenced,https://indiankanoon.org/doc/11478526/
"The Dramatic Performances Act, 1876",Union of India - Act,"UNION OF INDIA,India",Published in Gazette 19 on 16 December 1876,16 December 1876,https://indiankanoon.org/doc/1511172/
"The Oudh Laws Act,   1876",Union of India - Act,"UNION OF INDIA,India",1 January 1876,1 January 1876,https://indiankanoon.org/doc/1354504/
"The Bombay Revenue Jurisdiction Act, 1876",Union of India - Act,"UNION OF INDIA,India",Published in Gazette of India on 28 March 1876,Not commenced,https://indiankanoon.org/doc/11478526/
"The Dramatic Performances Act, 1876",Union of India - Act,"UNION OF INDIA,India",Published in Gazette 19 on 16 December 1876,16 December 1876,https://indiankanoon.org/doc/1511172/
"The Opium Act, 1878",Union of India - Act,"UNION OF INDIA,India",9 January 1878,9 January 1878,https://indiankanoon.org/doc/72261612/
"The Northern Indian Ferries Act, 1878",Union of India - Act,"UNION OF INDIA,India",Published in Gazette of India on 9 November 1878,Not commenced,https://indiankanoon.org/doc/10643501/
"The Indian Treasure-Trove Act, 1878",Union of India - Act,"UNION OF INDIA,India",13 February 1878,13 February 1878,https://indiankanoon.org/doc/1443989/
"Territorial Waters Jurisdiction Act, 1878",Union of India - Act,"UNION OF INDIA,India",16 August 1878,16 August 1878,https://indiankanoon.org/doc/154330743/
"The Opium Act, 1878",Union of India - Act,"UNION OF INDIA,India",9 January 1878,9 January 1878,https://indiankanoon.org/doc/72261612/
"The Indian Treasure-Trove Act, 1878",Union of India - Act,"UNION OF INDIA,India",13 February 1878,13 February 1878,https://indiankanoon.org/doc/1443989/
"Territorial Waters Jurisdiction Act, 1878",Union of India - Act,"UNION OF INDIA,India",16 August 1878,16 August 1878,https://indiankanoon.org/doc/154330743/
"The Northern Indian Ferries Act, 1878",Union of India - Act,"UNION OF INDIA,India",Published in Gazette of India on 9 November 1878,Not commenced,https://indiankanoon.org/doc/10643501/
